Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,19611,-,-,India,19.15,72.95,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag
2014,4,17,12,30,259,711,961,259,711,961,21,37.117261720126635,1007.7540893554688,39.39291994456331,8.87906317325816,3.658040644948139,0.0,246.96609497070312,2.4068655967712402,0
2014,4,17,13,30,255,702,933,255,702,933,21,36.799899285055346,1007.0921630859375,40.71717057681359,15.281670523985952,3.7024356404095915,0.0,249.8857879638672,3.24102783203125,0
2014,4,17,14,30,244,669,833,244,669,833,21,35.79618597532749,1006.5223388671875,44.4524666428705,28.407714822013887,3.7508145351313247,0.0,253.2339324951172,3.978304386138916,0
2014,4,17,15,30,223,607,671,223,607,671,22,34.31530613484483,1006.3251953125,50.07251607408168,42.38309480770283,3.755818552420527,0.0,255.60433959960938,4.513239860534668,0
2014,4,17,16,30,188,500,464,188,500,464,22,32.374895682268345,1006.6774291992188,57.55113833884343,56.53214269641415,3.736359287598167,0.0,256.48077392578125,4.740972518920898,0
2014,4,17,17,30,130,319,236,130,319,236,23,30.170512255030758,1006.968505859375,67.10184752130704,70.68264628791083,3.678741982916746,0.0,255.63758850097656,4.6671953201293945,0
2014,4,17,18,30,24,0,24,30,47,35,23,28.435993299333518,1007.2482299804688,75.61732624349283,84.73793423694498,3.5913299116030117,0.0,253.21424865722656,4.362095832824707,0
2014,4,17,19,30,0,0,0,0,0,0,24,27.605282184296584,1007.9682006835938,80.77140141404331,98.60075872749945,3.4826139425131846,0.0,251.5354461669922,3.9943273067474365,0
2014,4,17,20,30,0,0,0,0,0,0,24,27.17780001238424,1008.546875,83.90460919278296,112.11464591623383,3.362274709594378,0.0,248.36669921875,3.636765480041504,0
2014,4,17,21,30,0,0,0,0,0,0,24,26.919822225437258,1008.82373046875,86.0947358672495,125.00021475579736,3.262998297981242,0.0,245.3839111328125,3.327906608581543,0
2014,4,17,22,30,0,0,0,0,0,0,24,26.75221329734711,1008.9392700195312,87.69612117563464,136.67421553349226,3.208302342958296,0.0,244.287353515625,3.0474443435668945,0
2014,4,17,23,30,0,0,0,0,0,0,24,26.560792977411154,1008.5812377929688,89.26574262490868,145.8553810369887,3.196156934248119,0.0,245.83238220214844,2.760978937149048,0
2014,4,18,0,30,0,0,0,0,0,0,24,26.38311773043273,1007.978515625,90.61721312836346,150.13831040081965,3.2134385825228,0.0,248.37896728515625,2.500464916229248,0
2014,4,18,1,30,0,0,0,0,0,0,24,26.245301595500052,1007.7755126953125,91.6548862644047,147.5204951503766,3.242778687564301,0.0,250.15525817871094,2.2782187461853027,0
2014,4,18,2,30,0,0,0,0,0,0,24,26.121605465419464,1007.6275024414062,92.77698094576809,139.31429793369378,3.2718856778613032,0.0,247.5568389892578,2.0626392364501953,0
2014,4,18,3,30,0,0,0,0,0,0,24,25.96441805750942,1007.6573486328125,93.671450131452,128.11080454631394,3.3282068348979297,0.0,242.51150512695312,1.949405312538147,0
2014,4,18,4,30,0,0,0,0,0,0,24,25.863111490160748,1008.2994384765625,94.01095196247962,115.45894226549358,3.391448508738516,0.0,236.96923828125,1.8286259174346924,0
2014,4,18,5,30,0,0,0,0,0,0,24,25.822537689169792,1009.2645874023438,93.12906769104836,102.069888896164,3.4539010223090574,0.0,226.48934936523438,1.675369381904602,0
2014,4,18,6,30,2,0,2,6,4,6,24,26.17714147853792,1009.9221801757812,88.83838971524793,88.27524461977814,3.49912324831786,0.0,208.02243041992188,1.6248778104782104,0
2014,4,18,7,30,126,135,163,110,257,180,23,27.5897943306083,1010.6484375,77.27659922324386,74.25804873833238,3.5220470065055984,0.0,187.27291870117188,1.8149796724319458,0
2014,4,18,8,30,204,393,400,176,464,408,22,29.808754685781082,1011.3856811523438,65.91210441299435,60.11876411776223,3.528454826884092,0.0,177.7564697265625,1.8691681623458862,0
2014,4,18,9,30,237,555,623,216,587,624,22,32.52274982654609,1011.6346435546875,54.31373353121908,45.948825725796404,3.5113073398185395,0.0,175.802001953125,1.8344378471374512,0
2014,4,18,10,30,240,659,800,240,659,800,21,34.93662332037519,1011.2023315429688,45.46802689526036,31.878864970406667,3.4867196986994227,0.0,185.40469360351562,1.8903422355651855,0
2014,4,18,11,30,254,699,918,254,699,918,20,36.05782258107945,1010.8021850585938,41.59896561261884,18.318768318275247,3.467354919542419,0.0,203.40621948242188,2.1283087730407715,0
2014,4,18,12,30,403,549,946,259,713,964,20,36.332570611138124,1010.3826293945312,40.60161797858316,8.524716443591757,3.4586191882771966,0.0,218.56236267089844,2.5672719478607178,0
2014,4,18,13,30,256,705,937,256,705,937,20,36.279779889819736,1009.5243530273438,41.01098734737657,15.123673396449249,3.4437178841062415,0.0,227.13076782226562,3.0223217010498047,0
2014,4,18,14,30,245,673,838,245,673,838,21,35.90499513228468,1008.8546752929688,42.459095823206184,28.335806639357074,3.3995779547194935,0.0,227.96694946289062,3.2796859741210938,0
2014,4,18,15,30,224,611,676,224,611,676,21,35.36242625985608,1008.6079711914062,44.573216756613455,42.33512585608367,3.3297513245340613,0.0,226.99481201171875,3.3960134983062744,0
2014,4,18,16,30,277,172,372,189,505,468,21,34.14142923373515,1008.5859985351562,48.868441354946846,56.488968009550526,3.254202305576207,0.0,226.8463897705078,3.4538419246673584,0
2014,4,18,17,30,158,223,232,131,324,239,22,32.295056887450755,1009.078857421875,56.023338811447296,70.63498230711195,3.2033501292457736,0.0,226.5664520263672,3.4333677291870117,0
2014,4,18,18,30,25,0,25,31,49,36,23,30.52741321446115,1009.7423095703125,64.51428213497337,84.67909435220388,3.1982297537357125,0.0,226.4454803466797,3.352980613708496,0
2014,4,18,19,30,0,0,0,0,0,0,23,29.587884901944847,1010.6280517578125,70.33276820946716,98.52394168105663,3.227264813503756,0.0,226.43988037109375,3.2238929271698,0
2014,4,18,20,30,0,0,0,0,0,0,23,28.914934235395094,1011.259765625,74.77292440574347,112.01123281246072,3.273260539434152,0.0,228.8636932373047,3.0043978691101074,0
2014,4,18,21,30,0,0,0,0,0,0,24,28.28557753515321,1011.603271484375,79.24098090722904,124.85765834332867,3.3121876959816543,0.0,233.30355834960938,2.819756269454956,0
2014,4,18,22,30,0,0,0,0,0,0,24,27.817169462839274,1011.8681030273438,82.60130856406657,136.47401541016396,3.3345292367862074,0.0,238.035888671875,2.7007253170013428,0
2014,4,18,23,30,0,0,0,0,0,0,24,27.37106471792964,1011.511474609375,85.51272233615519,145.57729520865485,3.329239100853247,0.0,241.49169921875,2.5940754413604736,0
2014,4,19,0,30,0,0,0,0,0,0,24,26.965198790629586,1010.5556030273438,88.11628741623667,149.79340075620647,3.2930004261489287,0.0,247.038330078125,2.4649863243103027,0
2014,4,19,1,30,0,0,0,0,0,0,24,26.635833247091284,1010.033203125,90.13278014682953,147.17854400983273,3.2399220913446882,0.0,255.99566650390625,2.291167736053467,0
2014,4,19,2,30,0,0,0,0,0,0,24,26.364608920806745,1009.3514404296875,91.85804722849123,139.02158696547275,3.1844824041703905,0.0,263.28070068359375,2.16412353515625,0
2014,4,19,3,30,0,0,0,0,0,0,24,26.182936494590706,1008.865234375,93.12821563997743,127.86610551345973,3.1589858353551694,0.0,270.32275390625,1.950236439704895,0
2014,4,19,4,30,0,0,0,0,0,0,24,26.324690684925258,1008.8667602539062,92.32963106324647,115.25003108847524,3.1469601537537115,0.0,278.4404296875,1.52620530128479,0
2014,4,19,5,30,0,0,0,0,0,0,24,26.47434784051933,1009.1196899414062,91.08110944450277,101.8864347233953,3.149089867507894,0.0,288.930908203125,0.9653605818748474,0
2014,4,19,6,30,3,0,3,6,5,7,24,26.43710900607482,1009.7042236328125,89.30613686207948,88.1097663132283,3.1620549788729306,0.0,315.298095703125,0.38156649470329285,0
2014,4,19,7,30,123,191,176,111,263,183,23,28.287887792802508,1010.0784301757812,76.11668194095603,74.10434342375669,3.182550031294365,0.0,79.32546997070312,0.3246456980705261,0
2014,4,19,8,30,177,469,412,177,469,412,23,31.05723674735816,1010.6506958007812,63.228401179692916,59.97124726563243,3.205607588750595,0.0,102.40438079833984,0.6603829264640808,0
2014,4,19,9,30,217,591,629,217,591,629,22,34.185865456263116,1010.7140502929688,50.76325284959812,45.800246211956434,3.2575939475552214,0.0,115.10950469970703,0.7775290608406067,0
2014,4,19,10,30,241,662,804,241,662,804,21,36.98059268598371,1010.2989501953125,41.0365602683653,31.715911385744732,3.3148496799719043,0.0,141.06077575683594,0.6217195987701416,0
2014,4,19,11,30,254,700,920,254,700,920,20,39.20829181198758,1009.3468017578125,33.407534084798534,18.104811338463193,3.3684351756028343,0.0,207.16940307617188,0.6298155784606934,0
2014,4,19,12,30,259,713,965,259,713,965,19,40.2808380634807,1008.2709350585938,30.01159881005106,8.173690452025141,3.4261501146632165,0.0,250.75587463378906,1.52911376953125,0
2014,4,19,13,30,256,704,936,256,704,936,19,39.80725066335543,1007.1482543945312,31.192428894952528,14.972451263786667,3.494101579980091,0.0,262.8554992675781,2.7981796264648438,0
2014,4,19,14,30,244,671,835,244,671,835,20,38.53883884192413,1006.3151245117188,34.9955660307867,28.267168091390893,3.5825020841198496,0.0,270.46478271484375,3.8968687057495117,0
2014,4,19,15,30,223,608,673,223,608,673,21,36.859672631439594,1006.1948852539062,40.29642625190349,42.288670545939965,3.655968228693556,0.0,275.45489501953125,4.597614765167236,0
2014,4,19,16,30,188,500,464,188,500,464,21,34.90811665520948,1006.3778686523438,46.62286830007831,56.446337555050576,3.768144407916048,0.0,278.8165283203125,4.994442939758301,0
2014,4,19,17,30,130,318,236,130,318,236,22,32.56781362902052,1006.9049072265625,55.10936260042752,70.58723833119257,3.9161928966176056,0.0,281.4090270996094,5.003676891326904,0
2014,4,19,18,30,25,0,25,31,48,35,23,30.735258607566607,1007.7103881835938,63.480937101826825,84.61972960935204,4.09300378545647,0.0,284.48248291015625,4.562961101531982,0
2014,4,19,19,30,0,0,0,0,0,0,23,29.747176623718758,1008.48974609375,68.92465188328826,98.44627511174974,4.291668611297964,0.0,289.1848449707031,3.793184995651245,0
2014,4,19,20,30,0,0,0,0,0,0,23,28.99716924117996,1008.8419189453125,72.73495671515849,111.90675069439544,4.4533111477232,0.0,291.9151611328125,2.885707378387451,0
2014,4,19,21,30,0,0,0,0,0,0,23,28.48132821544789,1009.239990234375,75.30992529448488,124.71398767986045,4.469760058571488,0.0,295.9618835449219,2.0474681854248047,0
2014,4,19,22,30,0,0,0,0,0,0,24,28.12306115949201,1008.9924926757812,78.50194763388943,136.2730702301082,4.408429746500055,0.0,305.481201171875,1.4653130769729614,0
2014,4,19,23,30,0,0,0,0,0,0,24,27.82303218674508,1008.5616455078125,80.96590494522545,145.29979652660802,4.29035421759568,0.0,320.65753173828125,1.227849006652832,0
2014,4,20,0,30,0,0,0,0,0,0,24,27.546236551808818,1007.6063842773438,82.11396653859491,149.45122241749146,4.154667242898697,0.0,338.360595703125,1.3261570930480957,0
2014,4,20,1,30,0,0,0,0,0,0,24,27.329100619714495,1006.8587036132812,82.86083564317292,146.83985833479613,4.024700336812763,0.0,352.0870056152344,1.661521553993225,0
2014,4,20,2,30,0,0,0,0,0,0,24,27.15387200572593,1006.6559448242188,83.4499520589707,138.73152718534652,3.9097963467518952,0.0,358.1898498535156,1.9874049425125122,0
2014,4,20,3,30,0,0,0,0,0,0,24,27.053589168095982,1006.720458984375,83.54558481296651,127.6237338388384,3.8601858166800156,0.0,2.2578277587890625,2.203120708465576,0
2014,4,20,4,30,0,0,0,0,0,0,23,27.042462749898732,1007.1962280273438,83.085107315921,115.04344044293839,3.816847200734276,0.0,6.079399108886719,2.3185832500457764,0
2014,4,20,5,30,0,0,0,0,0,0,23,27.056039917149917,1007.7174072265625,82.36345359558265,101.70545991033171,3.7797852932751717,0.0,11.432334899902344,2.317932367324829,0
2014,4,20,6,30,4,0,4,7,6,7,23,27.70978530675808,1008.7837524414062,76.7101995692625,87.94702975233369,3.7454605141758908,0.0,19.238365173339844,2.2485365867614746,0
2014,4,20,7,30,124,177,173,111,261,183,21,30.195101024637836,1009.2621459960938,60.81530361909967,73.95373465472649,3.7114966124417723,0.0,30.28957748413086,2.1637792587280273,0
2014,4,20,8,30,177,465,411,177,465,411,20,33.58190571108719,1009.5829467773438,45.88980387947281,59.82731048693974,3.677459744395925,0.0,38.85459899902344,2.11639404296875,0
2014,4,20,9,30,216,587,626,216,587,626,17,36.69769817493113,1009.3657836914062,33.29331448821845,45.65595023903201,3.6506027344676393,0.0,45.26472854614258,2.0314762592315674,0
2014,4,20,10,30,240,659,802,240,659,802,16,39.00119085697628,1008.52880859375,27.145708406293075,31.558369384457365,3.5819823615388957,0.0,48.03034591674805,1.7832841873168945,0
2014,4,20,11,30,254,699,919,254,699,919,16,40.666594806831995,1007.4777221679688,23.904059878358787,17.8980663814488,3.488478152635746,0.0,48.69174575805664,1.4052060842514038,0
2014,4,20,12,30,259,714,967,259,714,967,15,41.68187344708673,1006.2432861328125,22.148819049987857,7.826102282747755,3.3837617062958767,0.0,46.01055145263672,0.9843650460243225,0
2014,4,20,13,30,256,707,940,256,707,940,15,42.34211140994563,1005.0743408203125,21.05169322052063,14.827993516619983,3.2755316156635383,0.0,32.235530853271484,0.6051155924797058,0
2014,4,20,14,30,245,676,841,245,676,841,15,42.681952489702724,1004.2821044921875,20.328353064837433,28.201693742948805,3.1826578431051105,0.0,347.01397705078125,0.2970190942287445,0
2014,4,20,15,30,224,615,680,224,615,680,15,41.702605500961226,1003.8621826171875,21.194348936444488,42.24364520060804,3.089428213849918,0.0,277.89892578125,0.6194627285003662,0
2014,4,20,16,30,189,509,471,189,509,471,15,39.955365455379365,1004.093017578125,23.362042902666527,56.40419169022048,3.036573599638184,0.0,269.3333435058594,1.1549657583236694,0
2014,4,20,17,30,158,243,239,132,327,241,15,37.65387972962077,1004.73828125,27.382885127202076,70.53937867686389,3.0305731738994304,0.0,268.06329345703125,1.8613611459732056,0
