tracker_theta,aoi,surface_azimuth,surface_tilt
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
1.157874605723918648e-03,4.918442334885979506e+01,9.000000000000000000e+01,1.157874605709707794e-03
1.616779147582292353e-03,5.826264255473858356e+01,9.000000000000000000e+01,1.616779147582292353e-03
2.641871534564188551e-03,6.926736638683792080e+01,9.000000000000000000e+01,2.641871534564188551e-03
6.623272938881541450e-03,8.141417361789197571e+01,9.000000000000000000e+01,6.623272938867330595e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
7.799991749530065022e+00,8.013372732848996804e+01,9.000000000000000000e+01,7.799991749530065022e+00
7.227346732132335205e+01,2.978691856846342745e+01,9.000000000000000000e+01,7.227346732132333784e+01
5.678579357927259963e+01,3.420456740245634109e+01,9.000000000000000000e+01,5.678579357927259963e+01
4.025684570374329496e+01,3.787315225108623196e+01,9.000000000000000000e+01,4.025684570374329496e+01
2.268901065373366066e+01,4.043576826407093705e+01,9.000000000000000000e+01,2.268901065373366066e+01
4.375178961126067634e+00,4.159485516605801081e+01,9.000000000000000000e+01,4.375178961126067634e+00
9.367954308885373393e-04,4.313089688947631828e+01,9.000000000000000000e+01,9.367954308885373393e-04
1.151608175334217776e-03,4.903055500118618681e+01,9.000000000000000000e+01,1.151608175334217776e-03
1.607092355627059987e-03,5.810840058296494703e+01,9.000000000000000000e+01,1.607092355627059987e-03
2.621266692145240995e-03,6.911839977235914034e+01,9.000000000000000000e+01,2.621266692145240995e-03
6.513932759062868172e-03,8.127225668186825658e+01,9.000000000000000000e+01,6.513932759062868172e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
7.657054434265830878e+00,8.030214665132628227e+01,9.000000000000000000e+01,7.657054434265830878e+00
7.233327900572132307e+01,2.964618894667649585e+01,9.000000000000000000e+01,7.233327900572132307e+01
5.685408756439743883e+01,3.406563312800498267e+01,9.000000000000000000e+01,5.685408756439743883e+01
4.033865784079496564e+01,3.773697401908408722e+01,9.000000000000000000e+01,4.033865784079496564e+01
2.278957914899098114e+01,4.030347057025250024e+01,9.000000000000000000e+01,2.278957914899098114e+01
4.498823146620665625e+00,4.146885266728011743e+01,9.000000000000000000e+01,4.498823146620665625e+00
9.319980413096118355e-04,4.298415041530397218e+01,9.000000000000000000e+01,9.319980413096118355e-04
1.145172005962535877e-03,4.887152184907220942e+01,9.000000000000000000e+01,1.145172005962535877e-03
1.597256920319978235e-03,5.795041429747608674e+01,9.000000000000000000e+01,1.597256920319978235e-03
2.600595261057492280e-03,6.896688318570303977e+01,9.000000000000000000e+01,2.600595261057492280e-03
6.406886892008856194e-03,8.112873491486955402e+01,9.000000000000000000e+01,6.406886892008856194e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
7.526246503653638342e+00,8.045538452010737274e+01,9.000000000000000000e+01,7.526246503653638342e+00
7.238820158266833005e+01,2.949962213032146963e+01,9.000000000000000000e+01,7.238820158266833005e+01
5.691747430773825300e+01,3.392058124851068612e+01,9.000000000000000000e+01,5.691747430773825300e+01
4.041582646419377056e+01,3.759426855928695232e+01,9.000000000000000000e+01,4.041582646419376346e+01
2.288620566778638477e+01,4.016417431582556219e+01,9.000000000000000000e+01,2.288620566778638477e+01
4.619716995999453957e+00,4.133549802290698238e+01,9.000000000000000000e+01,4.619716995999453957e+00
9.270141788988439657e-04,4.283095440165142520e+01,9.000000000000000000e+01,9.270141788988439657e-04
1.138573336817216841e-03,4.870741705152015300e+01,9.000000000000000000e+01,1.138573336803005986e-03
1.587284443516523424e-03,5.778879317762140033e+01,9.000000000000000000e+01,1.587284443516523424e-03
2.579880565448888774e-03,6.881292974035369525e+01,9.000000000000000000e+01,2.579880565448888774e-03
6.302158714902361680e-03,8.098371623068594261e+01,9.000000000000000000e+01,6.302158714902361680e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
7.407788316758910696e+00,8.059312302117467652e+01,9.000000000000000000e+01,7.407788316758910696e+00
7.243817007016198772e+01,2.934728160570199407e+01,9.000000000000000000e+01,7.243817007016198772e+01
5.697589195854288135e+01,3.376947766882668134e+01,9.000000000000000000e+01,5.697589195854288135e+01
4.048828348313685410e+01,3.744510620558893521e+01,9.000000000000000000e+01,4.048828348313684700e+01
2.297879933517903339e+01,4.001795244472027946e+01,9.000000000000000000e+01,2.297879933517903339e+01
4.737734557024253945e+00,4.119486013551617276e+01,9.000000000000000000e+01,4.737734557024253945e+00
9.218490465769946240e-04,4.267138103740154520e+01,9.000000000000000000e+01,9.218490465627837693e-04
1.131819623779506401e-03,4.853834074058267589e+01,9.000000000000000000e+01,1.131819623765295546e-03
1.577186750438386298e-03,5.762365464661989733e+01,9.000000000000000000e+01,1.577186750424175443e-03
2.559146146992929971e-03,6.865666215492115043e+01,9.000000000000000000e+01,2.559146146992929971e-03
6.199772138671733046e-03,8.083732190224203862e+01,9.000000000000000000e+01,6.199772138657522191e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
7.301724226035702259e+00,8.071526289936862497e+01,9.000000000000000000e+01,7.301724226035702259e+00
7.248313999847336220e+01,2.918923412706725173e+01,9.000000000000000000e+01,7.248313999847334799e+01
5.702929369789237057e+01,3.361239258570649469e+01,9.000000000000000000e+01,5.702929369789237057e+01
4.055596963447448644e+01,3.728956076957884846e+01,9.000000000000000000e+01,4.055596963447448644e+01
2.306727533145657105e+01,3.986488036584455585e+01,9.000000000000000000e+01,2.306727533145655684e+01
4.852755011718201672e+00,4.104700941160074734e+01,9.000000000000000000e+01,4.852755011718201672e+00
9.165078634936207891e-04,4.250550245502381586e+01,9.000000000000000000e+01,9.165078634936207891e-04
1.124918185084311517e-03,4.836439154299863930e+01,9.000000000000000000e+01,1.124918185084311517e-03
1.566975067973430669e-03,5.745511096307285470e+01,9.000000000000000000e+01,1.566975067973430669e-03
2.538413084067769887e-03,6.849819270157887274e+01,9.000000000000000000e+01,2.538413084067769887e-03
6.099729792907737647e-03,8.068965461452414445e+01,9.000000000000000000e+01,6.099729792907737647e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
7.208196674650281466e+00,8.082157806793775023e+01,9.000000000000000000e+01,7.208196674650281466e+00
7.252306531208050444e+01,2.902554665349974528e+01,9.000000000000000000e+01,7.252306531208050444e+01
5.707763340614843628e+01,3.344939610197491220e+01,9.000000000000000000e+01,5.707763340614843628e+01
4.061883014572253359e+01,3.712770700144402980e+01,9.000000000000000000e+01,4.061883014572252648e+01
2.315155527653385548e+01,3.970503624700047141e+01,9.000000000000000000e+01,2.315155527653385548e+01
4.964663356436417985e+00,4.089202086339494002e+01,9.000000000000000000e+01,4.964663356436417985e+00
9.109960269597650040e-04,4.233339607698196261e+01,9.000000000000000000e+01,9.109960269597650040e-04
1.117876525867700366e-03,4.818567502607043451e+01,9.000000000000000000e+01,1.117876525867700366e-03
1.556660896554262763e-03,5.728328369713834434e+01,9.000000000000000000e+01,1.556660896554262763e-03
2.517703075909594190e-03,6.833764640172888960e+01,9.000000000000000000e+01,2.517703075909594190e-03
6.002041609690422774e-03,8.054083823081970195e+01,9.000000000000000000e+01,6.002041609690422774e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
7.127177016933757159e+00,8.091205625753505615e+01,9.000000000000000000e+01,7.127177016933757159e+00
7.255791808550081612e+01,2.885628894970719927e+01,9.000000000000000000e+01,7.255791808550081612e+01
5.712087861831612656e+01,3.328056204727504763e+01,9.000000000000000000e+01,5.712087861831612656e+01
4.067682071682840217e+01,3.695962388329510162e+01,9.000000000000000000e+01,4.067682071682840217e+01
2.323156823178715058e+01,3.953850202135560465e+01,9.000000000000000000e+01,2.323156823178713637e+01
5.073350309323629403e+00,4.072997256468785565e+01,9.000000000000000000e+01,5.073350309323629403e+00
9.053189688188467699e-04,4.215514050725182926e+01,9.000000000000000000e+01,9.053189688188467699e-04
1.110702021449583299e-03,4.800229603922835508e+01,9.000000000000000000e+01,1.110702021449583299e-03
1.546255175540522941e-03,5.710829017690067388e+01,9.000000000000000000e+01,1.546255175540522941e-03
2.497035585534490565e-03,6.817513916355972015e+01,9.000000000000000000e+01,2.497035585534490565e-03
5.906698847212510373e-03,8.039097848025602389e+01,9.000000000000000000e+01,5.906698847212510373e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
7.058780127431347751e+00,8.098650098486518800e+01,9.000000000000000000e+01,7.058780127431347751e+00
7.258765837507067431e+01,2.868152951314106858e+01,9.000000000000000000e+01,7.258765837507067431e+01
5.715899104384097740e+01,3.310596212714796138e+01,9.000000000000000000e+01,5.715899104384098450e+01
4.072989515492892565e+01,3.678538763662016464e+01,9.000000000000000000e+01,4.072989515492891854e+01
2.330724598725882402e+01,3.936535787571297362e+01,9.000000000000000000e+01,2.330724598725880981e+01
5.178711868286328013e+00,4.056094249508453942e+01,9.000000000000000000e+01,5.178711868286328013e+00
8.994821349972426106e-04,4.197081518717393323e+01,9.000000000000000000e+01,8.994821349972426106e-04
1.103402021485067053e-03,4.781436158379169399e+01,9.000000000000000000e+01,1.103402021485067053e-03
1.535768706730777922e-03,5.693025058952925832e+01,9.000000000000000000e+01,1.535768706716567067e-03
2.476429448023509394e-03,6.801078985359080775e+01,9.000000000000000000e+01,2.476429448023509394e-03
5.813689083623785336e-03,8.024018339730572791e+01,9.000000000000000000e+01,5.813689083623785336e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
7.003132524670576231e+00,8.104469809916250256e+01,9.000000000000000000e+01,7.003132524670576231e+00
7.261225703398281439e+01,2.850133859521510615e+01,9.000000000000000000e+01,7.261225703398281439e+01
5.719194626800967285e+01,3.292567174255768236e+01,9.000000000000000000e+01,5.719194626800967285e+01
4.077802141001014746e+01,3.660508064950004581e+01,9.000000000000000000e+01,4.077802141001014746e+01
2.337853084298139095e+01,3.918569106445216477e+01,9.000000000000000000e+01,2.337853084298139095e+01
5.280650626093120081e+00,4.038501523441514962e+01,9.000000000000000000e+01,5.280650626093120081e+00
8.934911238611675799e-04,4.178050508607790192e+01,9.000000000000000000e+01,8.934911238611675799e-04
1.095983953760537588e-03,4.762198378225473050e+01,9.000000000000000000e+01,1.095983953760537588e-03
1.525212239670281633e-03,5.674928965054687779e+01,9.000000000000000000e+01,1.525212239670281633e-03
2.455903121457936322e-03,6.784472235251929817e+01,9.000000000000000000e+01,2.455903121457936322e-03
5.723001123868698414e-03,8.008857090776356813e+01,9.000000000000000000e+01,5.723001123868698414e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
6.960317761656568791e+00,8.108648539562415181e+01,9.000000000000000000e+01,6.960317761656568791e+00
7.263168741093474523e+01,2.831578705778073157e+01,9.000000000000000000e+01,7.263168741093473102e+01
5.721971913211670113e+01,3.273976561577746480e+01,9.000000000000000000e+01,5.721971913211669403e+01
4.082116626668037895e+01,3.641878288304554445e+01,9.000000000000000000e+01,4.082116626668037185e+01
2.344536715866117049e+01,3.899958618506713748e+01,9.000000000000000000e+01,2.344536715866117049e+01
5.379074488594639547e+00,4.020227433412183160e+01,9.000000000000000000e+01,5.379074488594639547e+00
8.873514728975351318e-04,4.158429428002825290e+01,9.000000000000000000e+01,8.873514728975351318e-04
1.088455067488780514e-03,4.742527351230528154e+01,9.000000000000000000e+01,1.088455067474569660e-03
1.514595996567891234e-03,5.656552860141265171e+01,9.000000000000000000e+01,1.514595996567891234e-03
2.435473125501630420e-03,6.767705278670933922e+01,9.000000000000000000e+01,2.435473125501630420e-03
5.634608044289279860e-03,7.993623961354865060e+01,9.000000000000000000e+01,5.634608044289279860e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
6.930383377360570307e+00,8.111174429998379765e+01,9.000000000000000000e+01,6.930383377360570307e+00
7.264593558738820889e+01,2.812494767640642124e+01,9.000000000000000000e+01,7.264593558738820889e+01
5.724229993002298755e+01,3.254832251537076360e+01,9.000000000000000000e+01,5.724229993002298755e+01
4.085931246639026426e+01,3.622658133773330036e+01,9.000000000000000000e+01,4.085931246639025716e+01
2.350771110859217572e+01,3.880713617239675273e+01,9.000000000000000000e+01,2.350771110859217572e+01
5.473898214755408276e+00,4.001281014356241172e+01,9.000000000000000000e+01,5.473898214755394065e+00
8.810688350422424264e-04,4.138227185267707142e+01,9.000000000000000000e+01,8.810688350422424264e-04
1.080822623038102392e-03,4.722434552801826868e+01,9.000000000000000000e+01,1.080822623038102392e-03
1.503930045956280992e-03,5.637909161867845143e+01,9.000000000000000000e+01,1.503930045956280992e-03
2.415155388263201530e-03,6.750790000801758595e+01,9.000000000000000000e+01,2.415155388263201530e-03
5.548485596904129125e-03,7.978329790946790467e+01,9.000000000000000000e+01,5.548485596904129125e-03
nan,nan,nan,nan
